,Model,WeightPure,WeightBrilliant,KindBrilliant,ColourDegree,Guaranty,StandardCode
0,srd1662,18/140,1/19 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
1,srd1661,12/720,1/00 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
2,srd1660,18/270,0/67 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
3,srd1659,16/630,0/91 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
4,srd1658,16/460,0/47 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
5,srd1657,17/840,1/19 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
6,srd1656,21/870,0/39 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
7,srd1655,16/520,0/50 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
8,srd1654,16/880,0/41 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
9,srd1653,15/480,0/97 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
10,srd1652,12/390,0/61 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
11,srd1651,17/590,0/76 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
12,srd1650,19/210,0/35 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
13,srd1649,17/490,0/35 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
14,srd1648,21/250,0/45 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
15,srd1647,14/590,0/09 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
16,srd1645,14/820,0/84 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
17,srd1644,19/140,0/92 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
18,srd1643,13/260,0/20 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
19,srd1642,20/040,0/80 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
20,srd1641,13/850,1/36 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
21,srd1640,13/440,1/32 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
22,srd1639,18/460,1/81 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
23,srd1638,14/350,1/41 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
24,srd1637,15/790,1/55 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
25,srd1636,14/350,1/41 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
26,srd1635,11/690,1/15 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
27,srd1634,15/220,0/44 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
28,srd1633,8/490,0/83 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
29,srd1632,11/450,1/12 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
30,srd1631,11/450,1/12 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
31,srd1631,7/850,0/77 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
32,srd1630,29/560,2/90 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
33,srd1629,8/560,0/84 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
34,srd1628,6/630,0/65 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
35,srd1627,10/840,1/06 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
36,srd1626,8/050,0/79 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
37,srd1625,13/490,1/32 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
38,srd1624,8/490,0/83 سوت,برلیان سفید پاک,F.G,طلایی مادام العمر,905
39,srd1624,17/710,1/47 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
40,srd1623,15/490,1/52 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
41,srd1622,22/080,2/16 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
42,srd1621,14/610,1/43 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
43,srd1620,16/650,1/63 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
44,srd1619,12/780,1/25 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
45,srd1618,16/990,1/67 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
46,srd1617,11/420,1/12 قیراط,برلیان سفید پاک,F.G,طلایی مادام العمر,905
